product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
barr-cosmetics-centella-calming-gel-essence,Barr Cosmetics,Essence,24.44,4.62,Normal,N,
barr-cosmetics-super-green-deep-energy-cream,Barr Cosmetics,Moisturisers,19.54,4.67,Normal,N,
barr-cosmetics-super-balance-brightening-ampoule,Barr Cosmetics,Essence,25.42,5.0,Normal,N,
barr-super-green-deep-energy-ampoule,Barr Cosmetics,Serum,24.44,5.0,Normal,N,
barulab-the-clean-vegan-vitamin-c-mask,Barulab,Face Mask,1.9,4.93,Dry,D,
barulab-the-clean-vegan-hyaluron-mask,Barulab,Face Mask,1.9,4.94,Dry,D,
barulab-the-clean-vegan-peptide-mask,Barulab,Face Mask,1.9,4.9,Normal,N,
barulab-the-clean-vegan-aha-bha-mask,Barulab,Face Mask,1.9,4.9,"Combination, Oily","C, O",
barulab-the-clean-vegan-cica-mask,Barulab,Face Mask,1.9,4.87,Normal,N,
the-clean-vegan-aloe-mask,Barulab,Face Mask,1.9,4.93,Normal,N,
barulab-the-clean-vegan-tea-tree-mask,Barulab,Face Mask,1.9,4.88,Normal,N,
barulab-the-clean-vegan-green-tea-mask,Barulab,Face Mask,1.9,4.97,Normal,N,
barulab-the-clean-vegan-shea-butter-mask,Barulab,Face Mask,1.9,4.91,Normal,N,
barulab-the-clean-vegan-mask-olive,Barulab,Face Mask,1.9,4.87,Normal,N,
be-plain-clean-ocean-non-nano-mild-sunscreen,Be Plain,Sunscreen,22.95,4.31,Normal,N,
be-plain-cicaful-calming-mask,Be Plain,Face Mask,2.95,4.42,Normal,N,
be-plain-clean-ocean-moisture-sunscreen-spf50-renewed,Be Plain,Sunscreen,22.95,4.33,Normal,N,
be-plain-greenful-ph-balanced-cleansing-foam,Be Plain,Cleanser,19.95,4.77,Normal,N,
be-plain-cicaful-ampoule,Be Plain,Serum,23.95,3.86,Normal,N,
be-plain-hyaluronic-aqua-moisturizer,Be Plain,Moisturisers,17.95,4.4,Normal,N,
be-plain-chamomile-ph-balanced-toner,Be Plain,Toner,22.95,5.0,Normal,N,
be-plain-chamomile-ph-balanced-lotion,Be Plain,Moisturisers,24.95,0.0,Normal,N,
be-plain-cicaful-calming-gel,Be Plain,Moisturisers,16.95,4.5,Normal,N,
be-plain-greenful-balancing-toner,Be Plain,Toner,19.95,4.25,Normal,N,
be-plain-vitamin-brightening-ampoule,Be Plain,Serum,23.95,4.0,Normal,N,
be-plain-multi-vitamin-ampoule,Be Plain,Serum,23.95,4.0,"Pigmentation, Sensitive, Dry, Normal","D, N","P, S"
be-plain-bha-peeling-ampoule,Be Plain,Serum,23.95,4.0,Normal,N,
be-the-skin-bha-pore-zero-cleansing-foam,Be The Skin,Cleanser,11.95,4.42,Normal,N,
be-the-skin-bha-pore-zero-tone,Be The Skin,Toner,17.95,4.56,Normal,N,
be-the-skin-bha-pore-zero-serum,Be The Skin,Serum,19.95,4.78,Normal,N,
be-the-skin-bha-dark-spot-zero-cream,Be The Skin,Moisturisers,15.26,4.8,Normal,N,
be-the-skin-heartleaf-o2-bubble-wash-off-mask-pack,Be The Skin,Face Mask,21.95,5.0,Normal,N,
be-the-skin-botanical-nutrition-power-toner,Be The Skin,Toner,33.95,0.0,Normal,N,
be-the-skin-botanical-nutrition-power-serum,Be The Skin,Serum,30.56,0.0,Normal,N,
beauty-of-joseon-matte-sun-stick-mugwort-camelia-spf50-pa,Beauty of Joseon,Sunscreen,14.65,4.52,Normal,N,
beauty-of-joseon-ginseng-essence-water,Beauty of Joseon,Essence,15.17,4.74,Normal,N,
beauty-of-joseon-red-bean-refreshing-pore-mask,Beauty of Joseon,Face Mask,19.26,4.74,Normal,N,
beauty-of-joseo-repair-serum-ginseng-snail-mucin,Beauty of Joseon,Serum,14.85,4.66,Normal,N,
beauty-of-joseon-centella-asiatica-calming-mask,Beauty of Joseon,Face Mask,2.39,4.85,Normal,N,
beauty-of-joseon-glow-deep-serum-rice-arbutin,Beauty of Joseon,Serum,14.8,4.59,"Normal, Dry, Sensitive","N, D",S
beauty-of-joseon-green-plum-refreshing-cleanser,Beauty of Joseon,Cleanser,12.68,4.75,Normal,N,
beauty-of-joseon-radiance-cleansing-balm,Beauty of Joseon,Cleanser,18.95,4.76,Normal,N,
beauty-of-joseon-calming-serum-propolis-niacinamide,Beauty of Joseon,Serum,14.95,4.6,"Sensitive, Dry",D,S
beauty-of-joseon-ginseng-cleansing-oil,Beauty of Joseon,Cleanser,19.05,4.59,Normal,N,
beauty-of-joseon-apricot-blossom-peeling-gel,Beauty of Joseon,Exfoliators,11.51,4.67,"Combination, Oily, Acne","C, O",A
beauty-of-joseon-ginseng-moist-sun-serum-spf-50-pa,Beauty of Joseon,Sunscreen,17.95,4.29,Normal,N,
beauty-of-joseon-hanbang-serum-discovery-kit,Beauty of Joseon,Serum,24.03,4.68,Normal,N,
beauty-of-joseon-green-plum-refreshing-toner,Beauty of Joseon,Toner,17.29,4.65,Normal,N,
beauty-of-joseon-red-bean-water-gel,Beauty of Joseon,Moisturisers,17.58,4.49,Normal,N,
beauty-of-joseon-ground-rice-and-honey-glow-mask,Beauty of Joseon,Face Mask,17.58,4.75,"Dry, Normal","D, N",
beauty-of-joseon-glow-replenishing-rice-milk,Beauty of Joseon,Toner,18.56,4.52,"Dry, Sensitive, Acne, Normal","D, N","S, A"
low-ph-rice-face-and-body-cleansing-bar,Beauty of Joseon,Cleanser,11.7,4.62,Normal,N,
beauty-of-joseon-light-on-serum-centella-vita-c,Beauty of Joseon,Serum,15.66,4.85,"Dry, Normal","D, N",
beauty-of-joseon-bubble-toner-green-plum-aha,Beauty of Joseon,Toner,16.45,4.75,Normal,N,
beauty-of-joseon-jelloskin-massage-cream-for-face-body1,Beauty of Joseon,Moisturisers,19.54,5.0,Normal,N,
beigic-comforting-cream,BEIGIC,Moisturisers,44.95,5.0,Normal,N,
beigic-correcting-exfoliator,BEIGIC,Face Mask,42.95,4.67,Normal,N,
beigic-regenerating-oil,BEIGIC,Serum,61.95,5.0,Normal,N,
beigic-luminous-hydrating-sheet-mask,BEIGIC,Face Mask,7.95,0.0,Normal,N,
beigic-treatment-essence,BEIGIC,Essence,47.95,5.0,"Dry, Normal","D, N",
beigic-treatment-lotion,BEIGIC,Moisturisers,30.95,4.0,Normal,N,
beigic-aromatic-face-cleanser,BEIGIC,Cleanser,28.95,0.0,"Normal, Dry","N, D",
beigic-lucent-oil,BEIGIC,Serum,45.95,0.0,Dry,D,
belif-the-true-cream-moisturizing-bomb,Belif,Moisturisers,44.95,5.0,Normal,N,
belif-the-true-cream-aqua-bomb,Belif,Moisturisers,44.95,5.0,"Normal, Oily, Combination","N, O, C",
belif-moisturizing-eye-bomb,Belif,Eye serum,37.95,4.33,"Dry, Normal","D, N",
belif-aqua-bomb-hydrating-toner,Belif,Toner,22.95,4.0,Normal,N,
belif-aqua-bomb-jelly-cleanser,Belif,Cleanser,23.95,0.0,Normal,N,
belif-creamy-moisturizer-deep-moist,Belif,Moisturisers,37.95,4.5,Normal,N,
belif-peat-miracle-revital-eye-cream,Belif,Eye serum,43.95,0.0,"Sensitive, Normal",N,S
belif-uv-protector-tone-up-sunscreen,Belif,Sunscreen,31.95,5.0,"Dry, Normal","D, N",
belif-aqua-bomb-sleeping-mask,Belif,Moisturisers,30.95,0.0,"Sensitive, Dry, Normal","D, N",S
